School_code,AgeID,School_name,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,School_gender,Latitude,Longitude
3922,50440,Albury North Public School,Albury ,2640,6025 1730,alburynth-p.school@det.nsw.edu.au,https://alburynth-p.schools.nsw.gov.au,6040 2326,256,20,14,888,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-36.064177,146.932402
1017,50441,Albury Public School,Albury ,2640,02 6021 3849,albury-p.school@det.nsw.edu.au,https://albury-p.schools.nsw.gov.au,02 6041 1265,607,5,10,1053,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-36.082454,146.919253
1019,50442,Albury West Public School,Albury ,2640,6021 2288,alburywest-p.school@det.nsw.edu.au,https://alburywest-p.schools.nsw.gov.au,6041 3783,166,23,8,906,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-36.07783,146.895548
4601,56175,Aldavilla Public School,Yarravel,2440,6563 1141,aldavilla-p.school@det.nsw.edu.au,https://aldavilla-p.schools.nsw.gov.au,6562 7506,275,30,4,909,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-31.055771,152.786972
8556,46425,Alexandria Park Community School,Alexandria ,2015,9698 1967,alexparkcs-c.school@det.nsw.edu.au,https://alexparkcs-c.schools.nsw.gov.au,9319 5007,1087,18,56,1033,Central/Community School,Partially Selective,Y,Comprehensive,Kinder to Year 12,,Coed,-33.901164,151.196518
4605,56155,Alfords Point Public School,Alfords Point ,2234,9543 0185,alfordspt-p.school@det.nsw.edu.au,https://alfordspt-p.schools.nsw.gov.au,9543 2817,208,3,43,1070,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.992403,151.02399
4200,47706,Allambie Heights Public School,ALLAMBIE HEIGHTS,2100,9451 5440,allambieht-p.school@det.nsw.edu.au,https://allambieht-p.schools.nsw.gov.au,9975 5046,488,np,17,1124,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.76615,151.249208
1028,51109,Alma Public School,Broken Hill ,2880,08 8088 2181,alma-p.school@det.nsw.edu.au,https://alma-p.schools.nsw.gov.au,08 8087 3691,257,36,2,860,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-31.982217,141.462443
8578,54740,Alstonville High School,Alstonville ,2477,6628 5222,alstonvill-h.school@det.nsw.edu.au,https://alstonvill-h.schools.nsw.gov.au,6628 1223,629.8,8,9,1005,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-28.838812,153.433756
1030,49761,Alstonville Public School,Alstonville ,2477,02 6628 0775,alstonvill-p.school@det.nsw.edu.au,https://alstonvill-p.schools.nsw.gov.au,02 6628 5362,294,10,7,1014,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-28.838471,153.438172
8570,54941,Ambarvale High School,Rosemeadow ,2560,4627 1800,ambarvale-h.school@det.nsw.edu.au,https://ambarvale-h.schools.nsw.gov.au,4628 5289,851.8,16,35,907,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-34.099984,150.801938
4505,50196,Ambarvale Public School,Ambarvale ,2560,4626 1485,ambarvale-p.school@det.nsw.edu.au,https://ambarvale-p.schools.nsw.gov.au,4628 0430,409,17,37,929,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.086423,150.798192
1040,49126,Anna Bay Public School,Anna Bay ,2316,4982 1187,annabay-p.school@det.nsw.edu.au,https://annabay-p.schools.nsw.gov.au,4982 1879,343,12,5,969,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.77637,152.089912
1042,44930,Annandale North Public School,Annandale ,2038,9660 3972,annandalen-p.school@det.nsw.edu.au,https://annandalen-p.schools.nsw.gov.au,9692 8323,391,3,27,1151,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.877905,151.171835
1041,45497,Annandale Public School,Annandale ,2038,9516 3711,annandale-p.school@det.nsw.edu.au,https://annandale-p.schools.nsw.gov.au,9550 4581,397,2,37,1132,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.885782,151.169599
3719,47863,Annangrove Public School,Annangrove ,2156,9679 1303,annangrove-p.school@det.nsw.edu.au,https://annangrove-p.schools.nsw.gov.au,9679 1389,135,0,40,1116,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.667417,150.95255
5625,56157,Anson Street School,Orange ,2800,6362 4563,ansonst-s.school@det.nsw.edu.au,https://ansonst-s.schools.nsw.gov.au,6361 7337,124,31,np,861,Schools for Specific Purposes,Not Selective,N,Comprehensive,Medium / High Support needs,,Coed,-33.296478,149.097489
4656,70331,Anzac Park Public School,CAMMERAY,2062,9922 3288,anzacpark-p.school@det.nsw.edu.au,https://anzacpark-p.schools.nsw.gov.au,,815,1,50,1152,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.826566,151.210731
1045,50197,Appin Public School,APPIN,2560,4631 1220,appin-p.school@det.nsw.edu.au,https://appin-p.schools.nsw.gov.au,4631 1486,342,8,8,989,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.198417,150.78766
1048,57392,Arcadia Public School,ARCADIA,2159,9653 1207,arcadia-p.school@det.nsw.edu.au,https://arcadia-p.schools.nsw.gov.au,9653 2697,77,np,19,1055,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.623487,151.051031
4132,48963,Arcadia Vale Public School,Arcadia Vale,2283,4975 1181,arcadiaval-p.school@det.nsw.edu.au,https://arcadiaval-p.schools.nsw.gov.au,4975 4237,130,18,6,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.060231,151.582044
1051,50519,Ardlethan Central School,Ardlethan ,2665,6978 2046,ardlethan-c.school@det.nsw.edu.au,https://ardlethan-c.schools.nsw.gov.au,6978 2202,73.4,27,np,891,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-34.354098,146.900557
3904,48985,Argenton Public School,ARGENTON,2284,4958 1805,argenton-p.school@det.nsw.edu.au,https://argenton-p.schools.nsw.gov.au,4958 2032,50,20,np,939,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.938493,151.629533
1055,50520,Ariah Park Central School,Ariah Park ,2665,6974 1105,ariahpark-c.school@det.nsw.edu.au,https://ariahpark-c.schools.nsw.gov.au,6974 1017,138,4,np,963,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-34.346925,147.218018
1057,49372,Armidale City Public School,Armidale ,2350,6772 3420,armidalec-p.school@det.nsw.edu.au,https://armidalec-p.schools.nsw.gov.au,6771 2262,379,13,30,982,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-30.519501,151.664056
8915,46436,Armidale Secondary College,Armidale,2350,02 6776 7400,armidale-s.school@det.nsw.edu.au,https://armidale-s.schools.nsw.gov.au,,1123,18,22,961,Secondary School,Partially Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-30.519371,151.650348
7401,48585,Arncliffe Public School,Arncliffe ,2205,9567 5060,arncliffe-p.school@det.nsw.edu.au,https://arncliffe-p.schools.nsw.gov.au,9556 1002,413,2,72,1037,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.94054,151.14755
5103,48586,Arncliffe West Infants School,Arncliffe ,2205,9567 7062,arncliffew-p.school@det.nsw.edu.au,https://arncliffew-p.schools.nsw.gov.au,9567 2869,124,np,88,1062,Infants School,Not Selective,N,Comprehensive,Kinder to Year 2,,Coed,-33.931832,151.14516
5538,56158,Arndell School,North Ryde ,2113,9888 3737,arndell-s.school@det.nsw.edu.au,https://arndell-s.schools.nsw.gov.au,9887 2941,21,np,np,1037,Schools for Specific Purposes,Not Selective,N,Comprehensive,Emotional disturbance,,Coed,-33.803223,151.125535
5656,56156,Arranounbai School,Frenchs Forest ,2086,9452 3168,arranoun-s.school@det.nsw.edu.au,https://arranoun-s.schools.nsw.gov.au,9975 5041,36,np,45,1042,Schools for Specific Purposes,Not Selective,N,Comprehensive,Medium / High Support needs,,Coed,-33.756784,151.241291
1061,47612,Artarmon Public School,Artarmon ,2064,9411 1950,artarmon-p.school@det.nsw.edu.au,https://artarmon-p.schools.nsw.gov.au,9415 1243,1237,0,87,1169,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-33.811249,151.186001
8892,46461,Arthur Phillip High School,Parramatta,2150,8855 8100,arthurphil-h.school@det.nsw.edu.au,https://arthurphil-h.schools.nsw.gov.au,,1307.6,1,91,969,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-33.816386,151.007364
1064,47773,Ashbury Public School,Ashbury,2193,9798 4509,ashbury-p.school@det.nsw.edu.au,https://ashbury-p.schools.nsw.gov.au,9716 8089,377,2,41,1115,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.898833,151.11944
8397,46380,Ashcroft High School,Ashcroft,2168,9607 8011,ashcroft-h.school@det.nsw.edu.au,https://ashcroft-h.schools.nsw.gov.au,9607 6562,678.2,13,69,863,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-33.920414,150.897272
4344,48524,Ashcroft Public School,Ashcroft,2168,9607 8202,ashcroft-p.school@det.nsw.edu.au,https://ashcroft-p.schools.nsw.gov.au,9608 4695,287,13,75,880,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.916395,150.89839
8832,45966,Ashfield Boys High School,Ashfield ,2131,9798 6620,ashfieldbo-h.school@det.nsw.edu.au,https://ashfieldbo-h.schools.nsw.gov.au,9716 8004,750,2,67,1053,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Boys,-33.889547,151.129219
1065,47774,Ashfield Public School,Ashfield ,2131,9798 4400,ashfield-p.school@det.nsw.edu.au,https://ashfield-p.schools.nsw.gov.au,9716 7250,476,2,75,1100,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-33.889723,151.12821
1066,49412,Ashford Central School,Ashford ,2361,6725 4101,ashford-c.school@det.nsw.edu.au,https://ashford-c.schools.nsw.gov.au,6725 4336,148,39,np,814,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-29.321262,151.094638
4375,50475,Ashmont Public School,Wagga Wagga ,2650,6931 4944,ashmont-p.school@det.nsw.edu.au,https://ashmont-p.schools.nsw.gov.au,6931 4320,273,57,9,773,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-35.124467,147.332815
4642,66003,Ashtonfield Public School,Ashtonfield ,2323,4934 3584,ashtonfield-p.school@det.nsw.edu.au,https://ashtonfield-p.schools.nsw.gov.au,4934 3510,502,9,13,1002,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.772442,151.600798
8245,47672,Asquith Boys High School,Asquith ,2077,9477 3508,asquithboy-h.school@det.nsw.edu.au,https://asquithboy-h.schools.nsw.gov.au,9482 2546,576.6,3,18,1044,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Boys,-33.692276,151.103016
8222,47673,Asquith Girls High School,Asquith ,2077,9477 6411,asquithgir-h.school@det.nsw.edu.au,https://asquithgir-h.schools.nsw.gov.au,9482 2524,637.6,2,27,1071,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Girls,-33.689716,151.11275
1070,45797,Asquith Public School,,2077,9477 1258,asquith-p.school@det.nsw.edu.au,https://asquith-p.schools.nsw.gov.au,,402,1,56,1093,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.685729,151.112177
3453,48587,Athelstane Public School,Arncliffe ,2205,9567 3550,athelstane-p.school@det.nsw.edu.au,https://athelstane-p.schools.nsw.gov.au,9556 1742,342,np,93,992,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.937445,151.138362
1071,49369,Attunga Public School,Attunga ,2345,6769 5554,attunga-p.school@det.nsw.edu.au,https://attunga-p.schools.nsw.gov.au,6769 5690,35,40,0,854,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-30.930445,150.846575
8253,46471,Auburn Girls High School,Auburn ,2144,9649 6949,auburng-h.school@det.nsw.edu.au,https://auburng-h.schools.nsw.gov.au/,9749 1035,834.7,np,98,943,Secondary School,Partially Selective,N,Comprehensive,Year 7 to Year 12,,Girls,-33.84288,151.033681
1073,47799,Auburn North Public School,Auburn ,2144,9748 1036,auburnnth-p.school@det.nsw.edu.au,https://auburnnth-p.schools.nsw.gov.au,9748 0109,630,np,98,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.841669,151.038618
7403,47800,Auburn Public School,Auburn,2144,02 9646 2200,auburn-p.school@det.nsw.edu.au,https://auburn-p.schools.nsw.gov.au,02 9749 1654,485,np,95,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.854,151.032953
1075,47801,Auburn West Public School,Auburn ,2144,9649 6774,auburnwest-p.school@det.nsw.edu.au,https://auburnwest-p.schools.nsw.gov.au,9749 1467,563,1,97,913,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.860931,151.019764
8912,70235,Aurora College,LINDFIELD,2070,1300 287 629,auroracoll-h.school@det.nsw.edu.au,http://www.aurora.nsw.edu.au,02 0000 0000,,,,,Secondary School,Partially Selective,Y,Other,Year 7 to Year 12,,Coed,-33.7897,151.1607
1076,49986,Austinmer Public School,Austinmer ,2515,4267 1311,austinmer-p.school@det.nsw.edu.au,https://austinmer-p.schools.nsw.gov.au,4267 1018,257,3,8,1112,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.305398,150.934991
1077,48545,Austral Public School,AUSTRAL,2179,9606 0312,austral-p.school@det.nsw.edu.au,https://austral-p.schools.nsw.gov.au,9606 0080,424,2,75,994,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.934487,150.812638
5104,47590,Australia Street Infants School,Newtown ,2042,9557 5377,australist-p.school@det.nsw.edu.au,https://australist-p.schools.nsw.gov.au,9550 1461,84,np,43,1141,Infants School,Not Selective,N,Comprehensive,Kinder to Year 2,,Coed,-33.895783,151.177607
3792,47718,Avalon Public School,Avalon Beach,2107,9973 1439,avalon-p.school@det.nsw.edu.au,https://avalon-p.schools.nsw.gov.au,9973 1423,877,1,10,1095,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.639377,151.326739
1082,56159,Avoca Beach Public School,Avoca Beach,2251,4382 1416,avocabch-p.school@det.nsw.edu.au,https://avocabch-p.schools.nsw.gov.au,4381 1431,451,3,10,1083,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.471154,151.430745
1081,50243,Avoca Public School,Avoca,2577,4887 7224,avoca-p.school@det.nsw.edu.au,https://avoca-p.schools.nsw.gov.au,4887 7380,9,0,0,1007,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.612697,150.479766
1084,48964,Awaba Public School,Awaba,2283,4959 2502,awaba-p.school@det.nsw.edu.au,https://awaba-p.schools.nsw.gov.au,4950 4905,27,np,np,943,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.010554,151.538068
5458,64093,Awabakal Environmental Education Centre,SHORTLAND,2307,4944 8233,awabakal-e.school@det.nsw.edu.au,https://awabakal-e.schools.nsw.gov.au/,,,,,,Environmental Education Centre,Not Selective,N,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),,Coed,-32.876107,151.696132
4291,50032,Balarang Public School,Oak Flats ,2529,4256 1846,balarang-p.school@det.nsw.edu.au,https://balarang-p.schools.nsw.gov.au,4257 1441,250,14,13,954,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.55976,150.831115
1098,49413,Bald Blair Public School,GUYRA,2365,6779 1578,baldblair-p.school@det.nsw.edu.au,https://baldblair-p.schools.nsw.gov.au,6779 2060,39,np,np,965,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-30.229893,151.785056
3794,46131,Bald Face Public School,Blakehurst ,2221,9546 1565,baldface-p.school@det.nsw.edu.au,https://baldface-p.schools.nsw.gov.au,9546 7782,260,0,76,1118,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.996752,151.106905
3736,47693,Balgowlah Heights Public School,Balgowlah ,2093,9948 2225,balgowlaht-p.school@det.nsw.edu.au,https://balgowlaht-p.schools.nsw.gov.au,9949 7241,720,np,22,1173,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-33.805985,151.258754
3984,47694,Balgowlah North Public School,North Balgowlah,2093,9949 4499,balgowlahn-p.school@det.nsw.edu.au,https://balgowlahn-p.schools.nsw.gov.au,9949 7832,433,np,13,1161,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.783267,151.246457
1106,50002,Balgownie Public School,Balgownie ,2519,4284 4245,balgownie-p.school@det.nsw.edu.au,https://balgownie-p.schools.nsw.gov.au,4284 3462,336,2,17,1085,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.386984,150.872076
1111,51039,Ballimore Public School,Ballimore ,2830,6886 5151,ballimore-p.school@det.nsw.edu.au,https://ballimore-p.schools.nsw.gov.au,6886 5167,14,np,0,917,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.193596,148.899631
8195,49764,Ballina Coast High School,BALLINA,2478,02 6681 0100,ballinacoast-h.school@det.nsw.edu.au,https://ballina-h.schools.nsw.gov.au,,869.1,16,8,959,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-28.866603,153.565058
1112,49765,Ballina Public School,Ballina ,2478,6686 2205,ballina-p.school@det.nsw.edu.au,https://ballina-p.schools.nsw.gov.au,6686 0692,266,38,11,848,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-28.869724,153.563707
7404,47588,Balmain Public School,BALMAIN,2041,9818 1177,balmain-p.school@det.nsw.edu.au,https://balmain-p.schools.nsw.gov.au,9555 7265,352,np,35,1176,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,Coed,-33.859166,151.183417
1115,46377,Balranald Central School,Balranald,2715,03 5020 2222,balranald-c.school@det.nsw.edu.au,https://balranald-c.schools.nsw.gov.au,03 5020 2269,175,15,7,919,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-34.635575,143.564769
1118,49770,Bangalow Public School,Bangalow ,2479,6687 1434,bangalow-p.school@det.nsw.edu.au,https://bangalow-p.schools.nsw.gov.au,6687 2036,250,np,11,1085,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-28.68554,153.525743
4536,48669,Bangor Public School,BANGOR,2234,9543 2244,bangor-p.school@det.nsw.edu.au,https://bangor-p.schools.nsw.gov.au,9543 4506,531,2,17,1064,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.019534,151.029118
4571,56160,Banks Public School,ST CLAIR,2759,9670 6506,banks-p.school@det.nsw.edu.au,https://banks-p.schools.nsw.gov.au,9834 3868,384,4,35,968,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.793717,150.773098
4217,48555,Banksia Road Public School,Greenacre ,2190,9707 3423,banksiard-p.school@det.nsw.edu.au,https://banksiard-p.schools.nsw.gov.au,9790 5607,562,np,94,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.906898,151.05011
1121,46390,Banksmeadow Public School,Botany ,2019,9316 9608,banksmeado-p.school@det.nsw.edu.au,https://banksmeado-p.schools.nsw.gov.au,9316 4513,293,3,34,1038,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.953739,151.20661
8254,46340,Bankstown Girls High School,Bankstown,2200,9709 6788,bankstowng-h.school@det.nsw.edu.au,https://bankstowng-h.schools.nsw.gov.au,9796 3971,521,0,97,949,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Girls,-33.920754,151.032138
5548,67662,Bankstown Hospital School,Bankstown,2200,9722 8063,banksthos-s.school@det.nsw.edu.au,https://banksthos-s.schools.nsw.gov.au,9722 8068,,,,,Schools for Specific Purposes,Not Selective,N,Comprehensive,Hospital School,,Coed,-33.933446,151.021069
1124,48574,Bankstown North Public School,Bankstown ,2200,9709 5506,bankstownn-p.school@det.nsw.edu.au,https://bankstownn-p.schools.nsw.gov.au,9790 0945,324,np,91,1011,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.904888,151.038043
7405,48575,Bankstown Public School,Bankstown ,2200,9796 2120,bankstown-p.school@det.nsw.edu.au,https://bankstown-p.schools.nsw.gov.au,9790 3548,781,1,94,973,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.921122,151.034168
8381,55388,Bankstown Senior College,Bankstown ,2200,9707 3288,bankstowns-h.school@det.nsw.edu.au,https://bankstowns-h.schools.nsw.gov.au,9790 4678,506.2,np,98,860,Secondary School,Not Selective,N,Senior College,Year 10 to Year 12,,Coed,-33.929121,151.022569
5246,48576,Bankstown South Infants School,Bankstown ,2200,9790 6176,bankstowsi-p.school@det.nsw.edu.au,https://bankstowsi-p.schools.nsw.gov.au,9790 0427,146,0,98,992,Infants School,Not Selective,N,Comprehensive,Kinder to Year 2,,Coed,-33.93123,151.038402
4142,48578,Bankstown West Public School,Bankstown,2200,9790 6158,bankstownw-p.school@det.nsw.edu.au,https://bankstownw-p.schools.nsw.gov.au,9796 7782,325,2,93,1000,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.915528,151.019639
8282,56648,Banora Point High School,Banora Point ,2486,07 5513 1960,Banorapnt-h.school@det.nsw.edu.au,https://banorapnt-h.schools.nsw.gov.au,07 5513 1220,569.9,10,7,972,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-28.215457,153.525324
1129,49515,Banora Point Public School,Banora Point ,2486,07 5524 1444,banorapt-p.school@det.nsw.edu.au,https://banorapt-p.schools.nsw.gov.au,07 5524 9287,506,12,7,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-28.222422,153.543702
1130,46402,Baradine Central School,Baradine,2396,6843 1805,baradine-c.school@det.nsw.edu.au,https://baradine-c.schools.nsw.gov.au,6843 1751,119,55,0,797,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-30.950736,149.070198
4311,48550,Bardia Public School,Bardia,2565,9605 2459,bardia-p.school@det.nsw.edu.au,https://bardia-p.schools.nsw.gov.au,9829 3967,975,2,82,1072,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.97528,150.857923
5148,48591,Bardwell Park Infants School,Bardwell Park ,2207,9567 8754,bardwelpki-p.school@det.nsw.edu.au,https://bardwelpki-p.schools.nsw.gov.au,9567 2952,22,0,60,1081,Infants School,Not Selective,N,Comprehensive,Kinder to Year 2,,Coed,-33.933428,151.12555
1131,50521,Barellan Central School,,2665,6963 9202,barellan-c.school@det.nsw.edu.au,https://barellan-c.schools.nsw.gov.au,6963 9302,82,17,np,936,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,Coed,-34.287799,146.571928
1134,50234,Bargo Public School,Bargo ,2574,4684 1396,bargo-p.school@det.nsw.edu.au,https://bargo-p.schools.nsw.gov.au,02 4684 3781,244,13,8,947,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.292889,150.58274
8461,50671,Barham High School,Barham ,2732,03 5453 2322,barham-h.school@det.nsw.edu.au,https://barham-h.schools.nsw.gov.au,03 5453 3259,127,6,np,943,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-35.623,144.132055
